Samp_Name	Tot_Samp_Reads	Unassigned_Step_One	Assigned_Step_Three	Unassigned_Step_Three
LN_7H02_VL_444	11823497	132060	11467674	355823
LN_7H03_VL_445	13132285	372041	12228707	903578
LN_7H04_VL_446	11296819	82474	10163519	1133300
LN_7H05_VL_447	16062767	55646	15676339	386428
LN_7H07_VL_449	13970658	249441	13465092	505566
LN_7H08_VL_450	13475939	68504	13092521	383418
LN_7H09_VL_451	11127545	4286586	6344619	4782926
LN_7I01_VL_452	11464425	4897835	5728695	5735730
LN_7I02_VL_453	9387926	4507120	4439133	4948793
LN_7I04_VL_455	9420532	255004	9068444	352088
LN_7I05_VL_456	12163794	118096	11955184	208610
LN_7I06_VL_457	10687695	396630	9657880	1029815
LN_7I07_VL_458	7464550	74490	6898018	566532
LN_7I08_VL_459	9355185	204519	8717670	637515
LN_7I09_VL_460	10097113	91216	9387667	709446
LN_8A01_VL_461	13238717	16847	13103769	134948
LN_8A02_VL_462	7370361	12320	7256542	113819
LN_8A03_VL_463	6835005	89290	6519173	315832
LN_8A04_VL_464	8614374	25997	8468021	146353
LN_8A05_VL_465	10007587	148253	9451374	556213
LN_8A06_VL_466	12556951	161635	12123677	433274
LN_8A07_VL_467	9704503	25874	9474912	229591
LN_8A08_VL_468	12907559	189243	12531747	375812
LN_8A09_VL_469	13076635	155550	12742163	334472
LN_8B01_VL_470	12062487	163369	11535451	527036
LN_8B02_VL_471	10633348	254959	9972406	660942
LN_8B03_VL_472	9921284	174620	9400346	520938
LN_8B04_VL_473	7577277	36666	7365300	211977
LN_8B05_VL_474	8365208	124028	7522069	843139
LN_8B06_VL_475	10385232	98759	10129703	255529
